Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,SP,LPF,GL,D66,CU,SGP,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,Duurzaam Nederland,Nieuwe Communistische Partij,De Conservatieven.nl,VIP Vooruitstrevende Integratie Partij,Alliantie Vernieuwing en Democratie,Lijst Veldhoen
11066,439,Purmerend,42994,38,"0,09 %",55709,43032,"77,24 %",7417,13442,10093,2982,3725,2054,2059,330,27,364,315,58,54,12,51,0,0,11,0
11109,273,Putten,15028,9,"0,06 %",17251,15037,"87,17 %",7035,1839,2045,328,792,333,302,1221,1001,48,49,18,3,7,2,1,0,4,0
10279,177,Raalte,23484,21,"0,09 %",27409,23505,"85,76 %",12744,4690,2725,851,643,806,629,251,31,0,58,39,8,0,6,3,0,0,0
10485,595,Reeuwijk,8556,3,"0,04 %",9608,8559,"89,08 %",3069,1152,2140,208,556,230,330,258,557,14,19,8,8,0,2,1,3,1,0
11043,1661,Reiderland,4196,7,"0,17 %",5531,4203,"75,99 %",275,2227,359,483,216,163,49,22,2,17,16,5,4,1,354,0,0,3,0
10077,703,Reimerswaal,12779,9,"0,07 %",14960,12788,"85,48 %",4067,1940,1518,433,641,215,177,304,3371,41,38,13,8,8,5,0,0,0,0
11325,274,Renkum,21137,12,"0,06 %",24946,21149,"84,78 %",5877,5623,4516,1130,722,1512,1137,296,84,126,48,16,40,2,3,4,0,1,0
10269,339,Renswoude,2688,1,"0,04 %",3007,2689,"89,42 %",1369,238,409,72,131,25,36,100,294,3,8,2,1,0,0,0,0,0,0
10162,1667,Reusel-De Mierden,7585,6,"0,08 %",9239,7591,"82,16 %",3896,1320,1164,427,334,183,157,6,2,19,44,23,4,2,0,2,0,2,0
11355,275,Rheden,29359,25,"0,09 %",35110,29384,"83,69 %",7231,9811,5307,2016,1163,1648,1337,473,62,139,99,23,32,5,6,2,0,5,0
10309,340,Rhenen,11319,6,"0,05 %",13259,11325,"85,41 %",3283,2564,1964,426,559,391,366,271,1375,45,46,10,14,1,2,2,0,0,0
10646,597,Ridderkerk,29274,48,"0,16 %",35719,29322,"82,09 %",7676,7747,4652,1190,2658,752,817,1114,2260,158,144,36,27,10,6,13,4,4,6
11118,602,Rijnsburg,9093,3,"0,03 %",10678,9096,"85,18 %",4957,951,1334,183,386,208,192,648,163,33,26,3,1,5,0,2,0,1,0
10819,196,Rijnwaarden,6744,14,"0,21 %",8538,6758,"79,15 %",2207,2273,991,392,358,211,181,24,4,39,41,13,6,0,3,1,0,0,0
11257,1672,Rijnwoude,12462,15,"0,12 %",14284,12477,"87,35 %",4602,2186,2433,507,696,395,533,325,656,43,44,20,10,1,0,9,1,1,0
10358,178,Rijssen,23604,18,"0,08 %",25907,23622,"91,18 %",8656,3730,2262,504,609,381,351,1940,5079,0,37,34,9,0,5,7,0,0,0
11133,603,Rijswijk,30304,47,"0,16 %",38200,30351,"79,45 %",7821,7139,6863,1420,2887,1508,1604,308,108,254,278,22,34,14,9,13,19,1,2
10196,1669,Roerdalen,6205,10,"0,16 %",7901,6215,"78,66 %",2531,1472,1072,342,351,214,141,13,1,33,18,1,12,0,3,1,0,0,0
11313,957,Roermond,23581,25,"0,11 %",33719,23606,"70,01 %",7214,6324,4237,1699,1454,1319,797,73,14,197,85,27,34,91,6,10,0,0,0
10505,1670,Roggel en Neer,5054,6,"0,12 %",6315,5060,"80,13 %",2458,943,816,271,202,185,116,7,0,27,15,13,1,0,0,0,0,0,0
10407,1674,Roosendaal,43626,26,"0,06 %",57813,43652,"75,51 %",13732,10639,8914,2987,3353,1754,1414,175,29,193,235,79,49,35,17,12,3,6,0
10345,599,Rotterdam Centraal,299163,760,"0,25 %",429369,299923,"69,85 %",43639,108252,44159,20504,41304,16837,11861,4261,2135,2307,1158,361,420,1140,186,230,302,0,107
11314,600,Rozenburg,7845,12,"0,15 %",10114,7857,"77,68 %",1864,2175,1558,475,792,270,315,186,41,53,70,10,17,1,5,6,2,0,5
10684,277,Rozendaal,1125,0,"0,00 %",1190,1125,"94,54 %",279,165,480,29,36,41,71,6,5,4,3,1,5,0,0,0,0,0,0
11152,840,Rucphen,12249,11,"0,09 %",17943,12260,"68,33 %",3975,3534,2117,682,1269,257,193,26,3,58,72,29,22,2,4,2,0,4,0
10879,278,Ruurlo,5520,1,"0,02 %",6529,5521,"84,56 %",1958,1453,1342,184,184,162,160,17,5,17,22,9,2,3,0,1,0,1,0
10612,604,Sassenheim,9547,11,"0,12 %",11123,9558,"85,93 %",3610,1676,2219,441,543,421,420,70,22,48,44,13,9,1,1,3,6,0,0
10511,441,Schagen,11217,11,"0,10 %",13638,11228,"82,33 %",2494,3332,2695,642,563,663,591,85,8,53,57,20,6,2,5,0,0,1,0
10711,39,Scheemda,9235,5,"0,05 %",11108,9240,"83,18 %",2051,4252,956,635,317,341,218,289,14,43,30,17,8,0,64,0,0,0,0
10308,458,Schermer,3163,3,"0,09 %",3607,3166,"87,77 %",1070,681,716,169,171,150,143,18,5,19,12,4,3,0,1,0,0,1,0
11146,279,Scherpenzeel,5954,3,"0,05 %",6614,5957,"90,07 %",2396,809,969,124,232,120,137,257,867,11,18,7,5,0,0,2,0,0,0
11260,606,Schiedam,40972,79,"0,19 %",55464,41051,"74,01 %",8020,13384,6681,2973,5174,1900,1443,443,133,293,194,60,55,143,29,20,20,2,5
10355,88,Schiermonnikoog,735,1,"0,14 %",805,736,"91,43 %",206,241,142,36,20,37,31,9,2,3,6,2,0,0,0,0,0,0,0
11178,844,Schijndel,13576,38,"0,28 %",17490,13614,"77,84 %",4845,3132,2140,1802,649,411,407,11,9,67,42,40,10,0,4,3,4,0,0
10132,962,Schinnen,8602,5,"0,06 %",10335,8607,"83,28 %",3653,2196,1127,450,362,398,258,52,1,44,38,12,7,0,0,4,0,0,0
10130,607,Schipluiden,7204,4,"0,06 %",7977,7208,"90,36 %",3297,1037,1474,253,349,273,309,113,29,24,24,9,9,0,0,1,0,2,1
10980,608,Schoonhoven,7831,6,"0,08 %",9118,7837,"85,95 %",2331,1809,1520,395,563,339,340,265,189,33,20,15,6,0,2,4,0,0,0
10843,1676,Schouwen-Duiveland,22533,67,"0,30 %",26602,22600,"84,96 %",6571,5029,4703,935,1310,736,642,657,1673,141,95,24,8,4,5,0,0,0,0
10045,964,Sevenum,4587,8,"0,17 %",5507,4595,"83,44 %",2583,676,552,307,158,157,107,12,1,11,13,6,2,0,0,2,0,0,0
10052,517,'s-Gravendeel,5863,2,"0,03 %",7007,5865,"83,70 %",1932,1481,993,246,388,146,152,143,297,43,20,6,7,1,1,6,0,0,1
10640,519,'s-Gravenzande,12416,12,"0,10 %",14476,12428,"85,85 %",5386,1638,2786,252,1005,254,276,295,362,49,61,16,18,7,3,4,1,1,2
10054,796,'s-Hertogenbosch,76979,61,"0,08 %",100168,77040,"76,91 %",19475,21239,14256,7589,4840,4840,3356,332,44,351,324,165,85,24,27,18,10,4,0
10515,965,Simpelveld,6683,6,"0,09 %",8591,6689,"77,86 %",2769,1886,674,407,363,241,148,14,0,36,127,6,3,1,2,6,0,0,0
10496,845,Sint Michielsgestel,17354,17,"0,10 %",21180,17371,"82,02 %",6725,4130,2890,1417,700,602,609,42,2,55,99,53,13,0,7,5,2,3,0
10399,846,Sint-Oedenrode,10799,7,"0,06 %",12830,10806,"84,22 %",4768,2231,1676,811,524,375,259,16,2,27,40,48,17,0,2,1,0,2,0
11230,1883,Sittard-Geleen,55722,72,"0,13 %",74822,55794,"74,57 %",19695,16439,7139,3884,2782,3234,1595,183,31,341,238,44,76,12,10,19,0,0,0
10022,51,Skarsterlân,17326,7,"0,04 %",20253,17333,"85,58 %",6573,5308,2306,834,629,613,467,327,27,67,117,34,12,0,11,0,0,1,0
11331,610,Sliedrecht,14801,14,"0,09 %",17873,14815,"82,89 %",3948,3775,1898,633,857,336,294,943,1947,55,69,10,10,7,10,4,0,0,5
10747,40,Slochteren,9456,9,"0,10 %",11375,9465,"83,21 %",1991,3458,1509,474,383,385,305,773,67,34,51,10,2,0,11,0,0,3,0
10895,1714,Sluis,13865,14,"0,10 %",18141,13879,"76,51 %",4609,3914,2755,639,724,468,376,106,97,70,60,13,14,3,17,0,0,0,0
10405,90,Smallingerland,33932,25,"0,07 %",40447,33957,"83,95 %",10276,12299,3448,2049,910,1448,943,2080,203,107,106,36,13,4,10,0,0,0,0
11421,91,Sneek,19925,16,"0,08 %",24672,19941,"80,82 %",5615,6804,2979,1389,777,934,655,491,16,65,115,34,28,8,15,0,0,0,0
11021,342,Soest,28303,20,"0,07 %",33553,28323,"84,41 %",8417,5369,7692,1298,1496,1354,1391,645,259,128,105,31,20,78,9,5,0,6,0
10203,847,Someren,10961,8,"0,07 %",13468,10969,"81,44 %",5544,1757,1605,650,684,291,222,37,11,49,65,38,4,0,2,0,0,2,0
10549,848,Son en Breugel,9599,6,"0,06 %",11370,9605,"84,48 %",3546,1640,2363,494,523,367,463,42,2,50,60,40,3,2,0,3,0,1,0
10735,612,Spijkenisse,42780,89,"0,21 %",56711,42869,"75,59 %",7664,13355,8626,2629,5822,1446,1480,587,237,357,337,55,86,6,23,27,24,6,13
11415,1702,St. Anthonis,7600,14,"0,18 %",8607,7614,"88,46 %",4224,1190,899,480,305,264,156,9,1,21,30,12,4,1,2,2,0,0,0
10610,37,Stadskanaal,20500,22,"0,11 %",26037,20522,"78,82 %",6352,7944,1911,1089,709,501,360,1380,64,74,45,27,17,0,24,0,0,3,0
11362,180,Staphorst,9748,2,"0,02 %",10631,9750,"91,71 %",3197,930,837,125,275,116,96,1335,2799,0,13,18,2,0,2,3,0,0,0
11337,532,Stede Broec,13011,14,"0,11 %",15797,13025,"82,45 %",4074,3138,2707,768,918,565,522,87,21,80,98,18,11,1,2,0,0,1,0
10731,851,Steenbergen,13777,13,"0,09 %",18076,13790,"76,29 %",4350,3723,2657,771,1000,378,422,129,171,60,64,28,11,2,4,3,0,4,0
10497,280,Steenderen,3409,4,"0,12 %",3812,3413,"89,53 %",1536,804,548,148,112,95,98,30,12,10,6,7,0,0,3,0,0,0,0
10546,1708,Steenwijkerland,26870,25,"0,09 %",31822,26895,"84,52 %",9276,8119,3974,1125,1147,950,711,1251,130,0,98,51,20,0,12,6,0,0,0
11319,971,Stein,16028,18,"0,11 %",20931,16046,"76,66 %",6046,4560,2015,985,974,654,465,48,8,124,95,24,18,0,6,6,0,0,0
10558,617,Strijen,5998,12,"0,20 %",7084,6010,"84,84 %",1846,1418,1198,274,477,198,172,140,196,31,24,6,4,0,0,10,1,1,2
10474,975,Swalmen,4843,4,"0,08 %",6693,4847,"72,42 %",1824,1297,688,366,278,153,135,9,0,34,25,13,10,5,3,3,0,0,0
10891,9,Ten Boer,4602,2,"0,04 %",5241,4604,"87,85 %",1303,1469,492,232,119,203,155,517,64,15,14,9,5,0,5,0,0,0,0
11104,480,Ter Aar,5712,7,"0,12 %",6644,5719,"86,08 %",2666,768,1177,196,342,196,193,54,53,23,31,6,2,1,0,2,1,1,0
10704,715,Terneuzen,30238,16,"0,05 %",40500,30254,"74,70 %",9849,8111,4444,1436,1897,976,837,1315,1043,128,112,28,30,14,18,0,0,0,0
11210,93,Terschelling,3206,5,"0,16 %",3796,3211,"84,59 %",789,921,793,158,151,170,154,26,2,15,22,1,3,0,1,0,0,0,0
10237,448,Texel,8906,4,"0,04 %",10273,8910,"86,73 %",2715,2184,1813,614,423,548,371,99,45,36,34,12,6,1,5,0,0,0,0
10376,716,Tholen,14623,16,"0,11 %",17405,14639,"84,11 %",4219,3016,1651,505,810,279,226,589,3104,83,94,25,15,2,5,0,0,0,0
11195,977,Thorn,1586,11,"0,69 %",1973,1597,"80,94 %",674,386,253,75,81,47,47,3,0,6,6,2,6,0,0,0,0,0,0
10027,281,Tiel,22410,18,"0,08 %",28839,22428,"77,77 %",5037,7305,4653,1277,1477,1001,811,284,156,103,87,25,21,166,7,0,0,0,0
10792,855,Tilburg,104989,124,"0,12 %",148702,105113,"70,69 %",28010,28779,18109,11211,5680,6447,4491,463,69,506,500,273,92,209,50,49,28,23,0
10694,183,Tubbergen,12977,4,"0,03 %",14683,12981,"88,41 %",9313,1335,1196,311,348,203,189,13,16,0,31,15,2,0,0,5,0,0,0
10699,1700,Twenterand,20794,10,"0,05 %",24822,20804,"83,81 %",10266,4895,1507,595,604,409,267,1580,551,0,73,26,11,0,7,3,0,0,0
10002,1730,Tynaarlo,20895,11,"0,05 %",24226,20906,"86,30 %",4023,7090,4995,923,806,1190,1138,506,31,55,84,25,11,4,13,1,0,0,0
11241,737,Tytsjerksteradiel,20864,9,"0,04 %",23967,20873,"87,09 %",8407,6175,2285,900,703,842,516,713,115,48,121,22,7,3,4,0,0,3,0
10408,282,Ubbergen,6319,7,"0,11 %",7275,6326,"86,96 %",2152,1790,918,457,217,465,225,26,7,31,15,4,9,1,2,0,0,0,0
11141,856,Uden,24118,25,"0,10 %",30229,24143,"79,87 %",8826,4637,4774,2792,1168,780,783,59,10,99,83,53,12,27,6,6,1,2,0
11238,450,Uitgeest,7463,8,"0,11 %",8655,7471,"86,32 %",2032,1962,1669,415,424,451,364,34,6,41,47,7,6,0,5,0,0,0,0
11206,451,Uithoorn,16809,18,"0,11 %",19785,16827,"85,05 %",4993,3462,4663,816,943,700,847,139,19,97,77,10,24,2,4,9,0,4,0
10783,184,Urk,9270,1,"0,01 %",10154,9271,"91,30 %",4206,68,105,37,157,13,16,1558,3094,5,4,5,2,0,0,0,0,0,0
10722,344,Utrecht,154228,223,"0,14 %",199114,154451,"77,57 %",25660,48302,25809,13576,7117,18387,11020,2068,444,777,476,104,124,219,64,35,29,17,0
10007,981,Vaals,4309,2,"0,05 %",6106,4311,"70,60 %",1647,1427,459,216,214,197,78,10,3,26,18,1,2,1,7,3,0,0,0
10028,619,Valkenburg,2339,1,"0,04 %",2717,2340,"86,12 %",1151,297,389,64,107,55,64,161,25,7,8,3,7,0,0,0,0,1,0
11077,994,Valkenburg aan de Geul,11505,7,"0,06 %",14003,11512,"82,21 %",5509,2230,1467,967,465,388,321,29,4,72,21,12,11,0,4,5,0,0,0
11031,858,Valkenswaard,19422,19,"0,10 %",23931,19441,"81,24 %",6782,4542,3894,1467,1122,670,595,54,6,89,90,81,17,1,4,4,1,3,0
11292,47,Veendam,17223,21,"0,12 %",21983,17244,"78,44 %",2807,8552,2425,1031,665,541,548,403,24,82,68,17,8,30,18,0,0,4,0
11052,345,Veenendaal,37063,33,"0,09 %",43515,37096,"85,25 %",13504,6520,5840,1305,1611,1139,771,3162,2924,85,99,51,23,8,7,13,1,0,0
10369,717,Veere,14546,3,"0,02 %",16537,14549,"87,98 %",5497,2250,2500,485,528,556,373,511,1704,76,32,11,11,2,10,0,0,0,0
10985,860,Veghel,21654,18,"0,08 %",26671,21672,"81,26 %",9529,4315,3547,1723,1013,608,574,59,7,74,90,65,11,12,7,12,1,7,0
10071,861,Veldhoven,25770,19,"0,07 %",31993,25789,"80,61 %",8870,5602,5286,2003,1551,978,913,156,11,123,140,101,16,1,11,5,1,2,0
10620,453,Velsen,40382,34,"0,08 %",50441,40416,"80,13 %",9642,11363,8657,2484,2964,1924,1976,688,67,248,221,52,41,17,23,11,0,4,0
10433,454,Venhuizen,4982,10,"0,20 %",5788,4992,"86,25 %",1588,938,1409,245,302,201,196,27,6,26,30,6,3,0,4,0,0,1,0
10477,983,Venlo,48570,64,"0,13 %",67292,48634,"72,27 %",17085,12365,8379,2918,3057,2497,1413,168,23,261,208,72,55,45,8,16,0,0,0
11222,984,Venray,22303,17,"0,08 %",28650,22320,"77,91 %",9384,5140,3165,1572,1163,878,688,43,7,92,93,32,11,19,8,8,0,0,0
10887,620,Vianen,12110,9,"0,07 %",14719,12119,"82,34 %",3663,3118,2298,754,748,460,440,157,325,45,64,19,6,1,8,1,3,0,0
10811,622,Vlaardingen,43847,78,"0,18 %",56950,43925,"77,13 %",9960,13174,7239,3347,4520,1868,1524,803,723,290,194,58,47,33,14,25,12,6,10
11249,48,Vlagtwedde,10135,13,"0,13 %",13029,10148,"77,89 %",2820,4196,1245,592,451,312,175,195,13,76,24,12,11,1,11,0,0,1,0
10211,96,Vlieland,702,1,"0,14 %",859,703,"81,84 %",98,194,257,34,28,34,48,1,0,3,3,1,1,0,0,0,0,0,0
10270,718,Vlissingen,25914,36,"0,14 %",34404,25950,"75,43 %",6661,7723,4414,1955,1850,1137,782,500,420,247,117,30,31,30,17,0,0,0,0
11174,623,Vlist,6428,4,"0,06 %",7348,6432,"87,53 %",2206,1244,1268,224,362,167,219,160,508,25,33,5,2,0,1,4,0,0,0
11341,986,Voerendaal,8542,5,"0,06 %",10188,8547,"83,89 %",3852,1920,1174,479,402,334,256,22,1,54,30,9,6,0,3,0,0,0,0
10017,625,Voorhout,8892,9,"0,10 %",10102,8901,"88,11 %",3115,1411,2491,380,483,375,478,63,17,25,28,10,8,3,3,2,0,0,0
10537,626,Voorschoten,14171,16,"0,11 %",16369,14187,"86,67 %",4148,2727,3970,522,727,791,938,143,59,78,39,5,14,1,4,1,3,1,0
10912,285,Voorst,15308,17,"0,11 %",17957,15325,"85,34 %",5930,4016,2804,553,534,522,499,82,203,60,48,27,13,4,10,1,0,2,0
10957,286,Vorden,5871,4,"0,07 %",6657,5875,"88,25 %",2349,1398,1153,260,193,217,184,50,10,22,15,16,2,0,0,0,0,2,0
11224,865,Vught,15663,14,"0,09 %",19061,15677,"82,25 %",4950,3710,3389,1065,646,875,768,58,7,72,58,26,24,1,10,3,0,1,0
10959,866,Waalre,10540,7,"0,07 %",12172,10547,"86,65 %",3597,1874,2823,540,534,419,545,40,4,63,40,48,6,2,2,2,0,1,0
11359,867,Waalwijk,27278,34,"0,12 %",34866,27312,"78,33 %",9523,6165,5016,1877,1673,896,798,417,510,113,144,73,37,19,8,6,0,3,0
10081,627,Waddinxveen,16689,16,"0,10 %",19613,16705,"85,17 %",5255,3216,3415,561,1047,505,618,907,964,80,62,21,18,6,3,8,0,3,0
11010,289,Wageningen,21636,27,"0,12 %",25727,21663,"84,20 %",4282,6856,2937,1752,504,2825,1424,628,250,85,40,27,10,4,8,4,0,0,0
10204,628,Warmond,3299,3,"0,09 %",3842,3302,"85,94 %",1231,547,765,143,220,148,181,12,7,21,11,7,4,0,1,1,0,0,0
10838,291,Warnsveld,5946,7,"0,12 %",6828,5953,"87,19 %",1491,1928,1077,431,151,336,352,119,6,29,18,3,3,2,0,0,0,0,0
10164,629,Wassenaar,15318,13,"0,08 %",17825,15331,"86,01 %",4661,1736,6193,365,960,436,724,82,29,67,34,6,16,1,3,5,0,0,0
11329,630,Wateringen,10152,23,"0,23 %",12033,10175,"84,56 %",4156,1464,2363,296,944,309,383,84,17,46,50,13,15,1,5,5,0,0,1
10983,852,Waterland,11595,4,"0,03 %",13074,11599,"88,72 %",3254,2838,2620,601,810,602,606,106,10,73,45,12,11,0,6,0,0,1,0
11081,988,Weert,28056,24,"0,09 %",36759,28080,"76,39 %",9289,6976,6131,1832,1595,970,843,86,15,130,118,20,22,11,12,6,0,0,0
10773,457,Weesp,11024,10,"0,09 %",13560,11034,"81,37 %",2578,3131,2284,733,649,715,621,92,34,69,63,23,16,3,5,7,0,1,0
11116,292,Wehl,4170,1,"0,02 %",5136,4171,"81,21 %",2056,1123,450,153,152,105,69,7,6,24,13,9,2,1,0,0,0,0,0
10078,870,Werkendam,16738,18,"0,11 %",19733,16756,"84,91 %",6749,3068,2336,615,894,360,313,574,1659,62,66,29,6,0,1,3,2,1,0
11270,459,Wervershoof,5383,3,"0,06 %",6250,5386,"86,18 %",2363,930,1080,233,350,178,141,23,1,21,36,8,7,2,4,0,0,6,0
10042,668,West Maas en Waal,11976,14,"0,12 %",14061,11990,"85,27 %",4653,3007,2143,678,647,400,322,18,6,33,40,15,6,3,5,0,0,0,0
10354,558,Wester-Koggenland,8833,6,"0,07 %",10205,8839,"86,61 %",3568,1657,1988,365,436,355,318,23,8,50,48,6,3,1,5,0,0,2,0
10186,1701,Westerveld,12882,7,"0,05 %",14845,12889,"86,82 %",2852,4635,2946,580,565,581,446,128,20,51,47,19,7,4,0,1,0,0,0
11085,293,Westervoort,9557,8,"0,08 %",11802,9565,"81,05 %",2512,3137,1587,752,471,527,353,102,8,40,33,13,18,1,2,1,0,0,0
11322,98,Weststellingwerf,16192,22,"0,14 %",19708,16214,"82,27 %",4307,6083,2465,1016,895,600,361,220,21,78,79,33,15,1,14,0,0,4,0
10009,614,Westvoorne,9334,13,"0,14 %",10997,9347,"85,00 %",2145,1930,3198,359,837,235,396,47,47,63,47,8,13,0,0,6,0,1,2
10893,189,Wierden,15611,10,"0,06 %",17369,15621,"89,94 %",8660,2245,1943,377,490,367,285,827,369,0,30,11,4,0,2,1,0,0,0
11277,462,Wieringen,5187,2,"0,04 %",6488,5189,"79,98 %",1069,1650,1303,302,381,183,171,37,5,28,35,15,6,0,2,0,0,0,0
10239,463,Wieringermeer,7920,5,"0,06 %",9481,7925,"83,59 %",2782,1794,1565,404,519,260,258,157,35,44,65,17,14,1,4,0,0,1,0
10723,296,Wijchen,24398,22,"0,09 %",29374,24420,"83,13 %",8356,6574,4376,1824,1053,1016,856,82,8,78,105,30,25,14,1,0,0,0,0
10534,1696,Wijdemeren,15436,13,"0,08 %",17791,15449,"86,84 %",4840,2752,4421,656,873,663,785,190,78,105,38,9,16,0,2,8,0,0,0
10760,352,Wijk bij Duurstede,14439,15,"0,10 %",17006,14454,"84,99 %",4262,3423,3116,877,733,774,602,199,277,80,60,11,15,1,6,3,0,0,0
10453,52,Winschoten,11326,2,"0,02 %",14620,11328,"77,48 %",1788,5716,1450,708,374,500,288,313,15,49,36,20,8,0,60,0,0,1,0
11135,53,Winsum,9085,12,"0,13 %",10282,9097,"88,48 %",2581,3079,1027,592,239,547,319,592,40,34,22,8,4,1,0,0,0,0,0
11119,294,Winterswijk,18018,12,"0,07 %",21982,18030,"82,02 %",4766,6482,3703,929,592,661,556,135,16,58,66,27,18,2,6,0,0,1,0
10318,295,Wisch,12217,13,"0,11 %",15025,12230,"81,40 %",4585,3477,1963,628,521,461,314,120,5,47,44,32,6,8,5,0,0,1,0
10602,873,Woensdrecht,12121,9,"0,07 %",15775,12130,"76,89 %",4053,2792,2711,660,916,395,358,37,9,63,62,34,7,2,3,11,3,5,0
10974,632,Woerden,30257,29,"0,10 %",35135,30286,"86,20 %",10945,5553,5876,1408,1763,1337,1284,973,842,103,103,22,21,3,6,11,4,3,0
10818,466,Wognum,5078,2,"0,04 %",5978,5080,"84,98 %",2285,816,985,228,259,187,226,21,4,26,32,7,0,0,1,0,0,1,0
10648,880,Wormerland,9928,7,"0,07 %",11714,9935,"84,81 %",2387,2875,2041,703,547,660,459,121,11,59,37,11,12,2,3,0,0,0,0
11398,351,Woudenberg,7085,5,"0,07 %",8063,7090,"87,93 %",2611,983,1229,225,270,197,217,450,855,20,14,8,3,0,1,2,0,0,0
10282,874,Woudrichem,9201,9,"0,10 %",10786,9210,"85,39 %",4019,1674,1274,386,363,209,210,672,299,34,30,14,11,0,3,3,0,0,0
10454,710,Wûnseradiel,7523,3,"0,04 %",8748,7526,"86,03 %",3106,1905,977,481,301,295,223,133,10,18,42,25,3,1,1,0,0,2,0
11427,683,Wymbritseradiel,10255,3,"0,03 %",11776,10258,"87,11 %",4939,2054,1313,544,289,432,301,243,16,28,78,12,5,0,1,0,0,0,0
11044,479,Zaanstad,81347,123,"0,15 %",103392,81470,"78,80 %",14874,27705,14973,6610,5770,5176,3630,952,176,563,489,136,80,114,89,0,0,10,0
10557,297,Zaltbommel,16159,10,"0,06 %",18854,16169,"85,76 %",4674,3837,2577,675,631,556,519,624,1932,50,48,21,11,1,3,0,0,0,0
10910,473,Zandvoort,10465,16,"0,15 %",13238,10481,"79,17 %",2028,2308,3591,514,851,394,531,35,5,119,30,13,18,4,11,9,0,4,0
10618,707,Zederik,8993,3,"0,03 %",9949,8996,"90,42 %",3932,1528,1175,199,361,157,159,475,941,27,20,11,2,0,2,3,1,0,0
11121,478,Zeevang,4129,3,"0,07 %",4728,4132,"87,39 %",805,959,1352,216,243,226,263,15,4,21,12,4,6,0,3,0,0,0,0
10012,50,Zeewolde,10553,4,"0,04 %",12317,10557,"85,71 %",3298,1774,2740,347,597,419,426,767,83,35,46,14,4,1,2,0,0,0,0
10324,355,Zeist,37419,34,"0,09 %",45387,37453,"82,52 %",9489,8525,8682,2160,1722,2617,2068,937,747,220,148,30,24,22,9,9,2,8,0
11159,298,Zelhem,7276,6,"0,08 %",8699,7282,"83,71 %",2804,2068,1180,260,329,204,172,93,101,28,18,11,5,1,1,1,0,0,0
10938,299,Zevenaar,16406,11,"0,07 %",20248,16417,"81,08 %",5632,4700,2609,1114,729,695,641,76,14,80,63,23,14,4,4,3,0,5,0
11377,1666,Zevenhuizen-Moerkapelle,6462,9,"0,14 %",7341,6471,"88,15 %",2005,1217,1301,139,415,115,198,271,721,28,36,4,5,0,2,3,1,1,0
10004,476,Zijpe,7193,10,"0,14 %",8586,7203,"83,89 %",2104,1912,1713,336,405,293,278,33,4,54,34,11,7,5,3,0,0,1,0
10766,637,Zoetermeer,67334,93,"0,14 %",83304,67427,"80,94 %",15079,18016,15412,4264,4991,3103,3607,1200,592,452,321,66,85,23,20,36,56,11,0
11074,638,Zoeterwoude,5346,12,"0,22 %",6308,5358,"84,94 %",2095,968,1075,288,302,281,219,25,32,25,15,6,8,1,1,2,1,2,0
10021,56,Zuidhorn,11851,19,"0,16 %",13105,11870,"90,58 %",4016,2989,1256,564,296,608,362,1567,96,48,25,13,3,1,5,0,0,2,0
11192,879,Zundert,11659,11,"0,09 %",15186,11670,"76,85 %",4939,2336,2187,685,702,328,305,34,2,28,66,31,11,1,0,1,0,3,0
10254,301,Zutphen,22504,28,"0,12 %",27583,22532,"81,69 %",4070,8566,3162,2194,821,1916,1056,418,31,110,93,22,17,13,8,5,0,2,0
10746,1896,Zwartewaterland,13535,5,"0,04 %",15321,13540,"88,38 %",5114,2314,1181,374,335,232,166,1709,2060,0,23,11,11,0,5,0,0,0,0
10468,642,Zwijndrecht,27795,28,"0,10 %",34371,27823,"80,95 %",7823,7056,4955,1211,2517,875,935,1084,966,146,105,33,40,11,8,20,6,1,3
10093,193,Zwolle,69464,71,"0,10 %",83922,69535,"82,86 %",17655,22054,9634,4629,2360,4819,2883,4710,344,0,184,91,43,0,41,17,0,0,0
This file is created with Aspose.Cells for evaluation only with an Evaluation License. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is strictly prohibited from using it in the production of any software. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any violation of this provision shall require a mandatory purchase of pay license ,,,,,,,,,,,,,,,,,,,,,,,,,,,
as well as expose the user to other legal recourse for collection and punitive damages.,,,,,,,,,,,,,,,,,,,,,,,,,,,
