Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,SP,LPF,GL,D66,CU,SGP,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,Duurzaam Nederland,Nieuwe Communistische Partij,De Conservatieven.nl,VIP Vooruitstrevende Integratie Partij,Alliantie Vernieuwing en Democratie,Lijst Veldhoen
11412,766,Dongen,14939,23,"0,15 %",18672,14962,"80,13 %",5109,3608,2510,1572,719,539,555,92,29,63,75,30,14,4,8,9,1,2,0
10198,58,Dongeradeel,15573,10,"0,06 %",18353,15583,"84,91 %",7962,3358,1192,742,518,553,264,743,84,50,76,16,11,1,2,0,0,1,0
10213,315,Doorn,6665,1,"0,02 %",7890,6666,"84,49 %",2016,1229,1843,256,256,358,363,123,174,33,4,2,8,0,0,0,0,0,0
11157,505,Dordrecht,65978,92,"0,14 %",88071,66070,"75,02 %",14432,19765,11772,4179,5270,3358,2656,1797,1557,422,265,68,97,212,32,51,23,8,14
10642,498,Drechterland,6450,4,"0,06 %",7483,6454,"86,25 %",2453,1233,1425,298,414,291,210,29,7,28,38,12,7,1,2,0,0,2,0
10777,316,Driebergen-Rijsenburg,11967,29,"0,24 %",13955,11996,"85,96 %",3350,2514,2666,572,464,954,686,303,325,57,38,9,6,14,4,2,2,1,0
10258,1719,Drimmelen,16497,23,"0,14 %",20390,16520,"81,02 %",5670,4180,3153,1063,957,548,601,65,16,69,76,48,26,2,6,9,0,8,0
10210,303,Dronten,21772,13,"0,06 %",25919,21785,"84,05 %",8035,4077,4768,886,1131,877,686,968,101,83,99,16,18,12,12,0,0,3,0
10068,225,Druten,10594,3,"0,03 %",12947,10597,"81,85 %",3506,3199,1777,699,488,434,372,14,6,37,39,14,2,3,4,0,0,0,0
11028,226,Duiven,15547,8,"0,05 %",18541,15555,"83,90 %",4953,4145,3271,844,725,644,606,144,12,82,76,19,16,4,2,4,0,0,0
10941,1711,Echt-Susteren,19262,17,"0,09 %",24854,19279,"77,57 %",8096,5176,2369,1143,942,726,458,49,8,163,79,19,20,3,9,2,0,0,0
10884,385,Edam-Volendam,17543,5,"0,03 %",21228,17548,"82,66 %",7757,2392,3579,595,1926,520,462,90,9,71,78,16,30,6,9,0,0,3,0
10743,228,Ede,65062,61,"0,09 %",76147,65123,"85,52 %",23170,10988,10755,2301,2563,2796,1934,3978,6054,192,167,54,44,26,11,16,0,13,0
10248,317,Eemnes,5591,9,"0,16 %",6301,5600,"88,87 %",1724,1071,1477,265,265,273,319,92,36,32,15,8,13,0,1,0,0,0,0
10246,1651,Eemsmond,10767,8,"0,07 %",12771,10775,"84,37 %",2944,3971,1166,645,300,419,225,901,55,48,32,36,9,0,14,0,0,2,0
10741,770,Eersel,11542,11,"0,10 %",13636,11553,"84,72 %",5402,1801,2112,717,542,368,406,32,1,40,75,29,5,1,3,4,1,3,0
10436,229,Eibergen,10964,7,"0,06 %",12555,10971,"87,38 %",5045,2802,1358,550,360,401,267,48,9,49,39,16,7,1,6,5,0,1,0
10314,905,Eijsden,7434,6,"0,08 %",8969,7440,"82,95 %",3208,1935,1036,349,298,319,200,7,4,32,20,8,11,1,3,3,0,0,0
11298,772,Eindhoven,115914,163,"0,14 %",155809,116077,"74,50 %",29476,31424,20320,11806,6818,7202,5641,1034,96,629,519,564,66,189,45,46,19,20,0
11113,230,Elburg,13913,10,"0,07 %",16005,13923,"86,99 %",5863,1904,1670,345,440,270,200,1408,1719,34,30,14,10,1,3,1,0,1,0
11180,114,Emmen,65249,50,"0,08 %",83033,65299,"78,64 %",16715,29063,7269,3798,2344,2266,1789,1246,79,236,232,106,53,10,33,10,0,0,0
10729,388,Enkhuizen,10484,16,"0,15 %",12883,10500,"81,50 %",2385,3158,2200,711,562,565,457,163,140,63,51,9,9,8,2,0,0,1,0
10364,153,Enschede,86723,111,"0,13 %",113325,86834,"76,62 %",19174,33106,13545,5650,3316,4936,3592,2646,146,0,282,143,74,0,84,29,0,0,0
10940,232,Epe,21554,7,"0,03 %",25788,21561,"83,61 %",6883,6166,4105,725,936,711,600,538,612,132,82,27,15,6,7,9,0,0,0
10732,233,Ermelo,16853,13,"0,08 %",19765,16866,"85,33 %",7605,2069,2646,653,657,652,419,1311,713,69,31,12,6,4,1,2,0,3,0
10750,777,Etten-Leur,22394,28,"0,13 %",29270,22422,"76,60 %",6876,5839,4634,1474,1291,947,883,114,15,76,106,54,29,35,6,8,2,5,0
11284,1722,Ferwerderadiel,5672,4,"0,07 %",6777,5676,"83,75 %",2654,1263,578,300,235,210,97,248,12,26,35,6,4,1,1,0,0,2,0
10404,70,Franekeradeel,12648,7,"0,06 %",15530,12655,"81,49 %",4528,4087,1509,720,449,509,296,351,24,48,65,31,18,1,9,0,0,3,0
10036,653,Gaasterlân-Sleat,6738,4,"0,06 %",7740,6742,"87,11 %",3100,1289,943,301,284,277,151,133,107,39,99,8,3,0,3,0,0,1,0
